                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.61173,                  0.787,                 1.1039,                0.95699,                0.97882,                 0.9935,                0.86965,                 0.6152,                0.41484,                 1.3237,             0.00041807,             0.00041807,             0.00041807
                     65,                0.56702,                0.74193,                 1.0892,                0.92901,                0.96161,                0.99059,                 0.8554,                0.60907,                0.43389,                 1.3206,             0.00040707,             0.00040707,             0.00040707
                     66,                0.58185,                0.84699,                 1.0881,                 0.9596,                0.99281,                  0.995,                0.86327,                0.62341,                0.41028,                 1.2726,             0.00039607,             0.00039607,             0.00039607
                     67,                0.50121,                0.74031,                 1.0662,                0.98079,                0.97425,                  0.995,                0.86301,                0.62893,                 0.4204,                 1.2906,             0.00038507,             0.00038507,             0.00038507
                     68,                0.58275,                0.81585,                 1.0871,                 0.9601,                 0.9589,                 0.9935,                0.86246,                 0.6275,                0.43335,                 1.3117,             0.00037407,             0.00037407,             0.00037407
                     69,                0.54706,                0.80389,                  1.076,                0.94346,                0.96058,                 0.9935,                0.85771,                0.61903,                0.42767,                 1.2962,             0.00036307,             0.00036307,             0.00036307
                     70,                0.54299,                0.76368,                 1.0826,                0.88566,                0.96844,                0.99083,                0.86309,                 0.6408,                0.47059,                 1.3186,             0.00035208,             0.00035208,             0.00035208
                     71,                0.57906,                0.78517,                 1.1087,                0.92982,                0.97058,                 0.9905,                0.86072,                0.63454,                0.43611,                 1.3267,             0.00034108,             0.00034108,             0.00034108
                     72,                0.55197,                0.78278,                 1.0858,                0.97598,                0.97392,                  0.995,                0.86394,                0.65793,                0.41952,                 1.3555,             0.00033008,             0.00033008,             0.00033008
                     73,                0.52929,                0.74364,                 1.0404,                0.97782,                0.99477,                  0.995,                0.87031,                0.63663,                0.39647,                 1.3394,             0.00031908,             0.00031908,             0.00031908
                     74,                0.51461,                0.73578,                 1.0523,                 0.9611,                0.97558,                0.99223,                0.85832,                0.59577,                0.41487,                 1.3341,             0.00030808,             0.00030808,             0.00030808
                     75,                0.51015,                0.68743,                 1.0579,                0.95867,                0.98182,                0.98392,                0.85066,                0.57632,                0.44707,                 1.3022,             0.00029708,             0.00029708,             0.00029708
                     76,                0.51148,                0.78248,                 1.0688,                0.95901,                0.98182,                0.98764,                0.85845,                0.57919,                0.41682,                 1.2853,             0.00028608,             0.00028608,             0.00028608
                     77,                0.50615,                0.71841,                 1.0369,                 0.9804,                0.96664,                  0.995,                0.87392,                0.57053,                0.38611,                 1.2789,             0.00027508,             0.00027508,             0.00027508
                     78,                0.52988,                 0.7924,                 1.0636,                0.95675,                      1,                  0.995,                 0.8661,                0.60136,                 0.3809,                 1.3002,             0.00026408,             0.00026408,             0.00026408
                     79,                0.52159,                0.72698,                 1.0407,                0.93149,                      1,                  0.995,                0.86274,                0.60562,                0.38109,                 1.3101,             0.00025309,             0.00025309,             0.00025309
                     80,                0.51985,                0.70233,                 1.0387,                0.95681,                      1,                  0.995,                0.85301,                0.64133,                0.37422,                 1.3502,             0.00024209,             0.00024209,             0.00024209
                     81,                0.53839,                0.71582,                 1.0813,                0.97299,                0.99988,                  0.995,                0.85887,                0.63831,                0.36959,                 1.3466,             0.00023109,             0.00023109,             0.00023109
                     82,                0.53487,                 0.7964,                 1.0815,                 0.9734,                0.99506,                  0.995,                0.84781,                0.66138,                0.37552,                 1.3425,             0.00022009,             0.00022009,             0.00022009
                     83,                0.47191,                0.62334,                 1.0196,                0.95435,                0.99386,                  0.995,                0.86379,                  0.628,                0.37538,                 1.3124,             0.00020909,             0.00020909,             0.00020909
                     84,                0.50536,                 0.6868,                 1.0342,                0.97312,                0.95872,                 0.9935,                0.85519,                0.62362,                0.37741,                 1.3021,             0.00019809,             0.00019809,             0.00019809
                     85,                0.47872,                0.69428,                  1.032,                 0.9327,                0.97828,                   0.99,                0.85382,                0.61539,                0.38229,                 1.3084,             0.00018709,             0.00018709,             0.00018709
                     86,                0.46162,                0.67727,                 1.0279,                0.94918,                0.97805,                0.98523,                 0.8561,                0.61951,                0.39379,                 1.3269,             0.00017609,             0.00017609,             0.00017609
                     87,                0.44748,                0.60629,                 1.0067,                0.94456,                0.97464,                 0.9832,                0.85901,                0.62456,                0.40495,                 1.3447,             0.00016509,             0.00016509,             0.00016509
                     88,                0.46536,                 0.6756,                 1.0315,                0.95992,                0.97574,                0.99223,                0.86899,                0.61605,                0.39375,                 1.3433,              0.0001541,              0.0001541,              0.0001541
                     89,                0.47179,                0.66072,                 1.0181,                0.98476,                0.98548,                  0.995,                0.86961,                0.61077,                0.39031,                 1.3364,              0.0001431,              0.0001431,              0.0001431
                     90,                0.44688,                0.62419,                 1.0198,                0.98572,                0.98293,                  0.995,                0.87315,                0.59424,                0.37404,                 1.3189,              0.0001321,              0.0001321,              0.0001321
                     91,                0.33873,                0.54474,                0.95198,                0.98105,                0.97906,                  0.995,                0.86964,                0.58387,                0.37556,                 1.3153,              0.0001211,              0.0001211,              0.0001211
                     92,                0.32671,                0.49926,                 0.9442,                 0.9472,                0.98362,                 0.9915,                0.86399,                 0.5841,                0.40922,                 1.3216,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.3187,                 0.5044,                0.94132,                0.98144,                0.97102,                  0.995,                0.86726,                0.58834,                0.40563,                  1.317,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.30571,                0.48628,                0.94204,                0.94869,                0.98425,                 0.9915,                0.86265,                0.59919,                0.39667,                 1.3122,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.30485,                0.46986,                0.92555,                0.95951,                0.98482,                 0.9915,                0.86568,                0.60916,                0.39239,                 1.3175,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.30949,                0.44307,                 0.9264,                0.98062,                0.96476,                 0.9935,                0.87249,                0.61064,                0.38777,                  1.326,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.29356,                0.44536,                0.92221,                0.98326,                0.96043,                  0.995,                0.87409,                0.61002,                   0.38,                  1.332,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.28297,                0.42992,                0.88836,                0.98655,                0.95002,                  0.995,                0.85971,                0.61063,                0.38304,                 1.3334,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.28507,                0.43917,                0.92824,                0.98646,                0.94875,                  0.995,                0.85894,                0.61557,                0.38699,                  1.335,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.29445,                0.44369,                0.92599,                0.95315,                0.98193,                  0.995,                0.86335,                0.61766,                0.39166,                 1.3344,             2.2109e-05,             2.2109e-05,             2.2109e-05
